delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
134.2251134,118.9004818,109.0066124,183.5206197,0.59397474,0.647886227,0.731389822,1.090763938,1.23134836,1.155660421
128.7252617,87.30329201,77.42285722,158.9108675,0.487209329,0.549385283,0.810046939,1.127616509,1.662626082,1.093992996
123.7853033,81.15968747,86.53537832,167.415225,0.516890733,0.484780804,0.739390956,0.937878692,1.430458914,1.239115933
126.4246221,104.3382839,73.72123176,146.5064827,0.503194333,0.712175202,0.862928519,1.415308472,1.714901109,0.954346252
125.7865052,93.95450753,87.75663298,155.9009317,0.562899991,0.602655202,0.806836135,1.070625711,1.4333561,1.108839727
156.4346311,104.796144,77.34352128,176.3094377,0.438680551,0.594387603,0.887273155,1.354944051,2.02259515,0.970991871
132.478789,99.23291244,83.37218366,151.9715562,0.548603869,0.652970299,0.871734108,1.190240055,1.589004668,1.015674816
136.173478,61.30987264,67.39933934,136.1413979,0.495068659,0.450339673,1.000235638,0.909650944,2.020397815,1.030672898
185.7893258,126.0328487,104.2490305,193.6715153,0.538277559,0.650755732,0.959301245,1.208959432,1.78216838,0.955418088
150.1171558,101.0155787,102.0882891,196.3307921,0.519981038,0.514517247,0.764613407,0.989492327,1.470464018,1.188292246
163.0638011,213.3266767,118.4790243,192.9981447,0.613886856,1.105330194,0.844898283,1.800543835,1.376309453,0.827537324
127.9892537,89.8185576,87.5156494,166.6203106,0.525239985,0.539061278,0.768149172,1.026314245,1.462472764,1.166789926
135.3722659,107.8560836,113.7592145,160.6995811,0.707899882,0.671165929,0.842393396,0.948108547,1.189989457,1.128399696
108.9349018,85.31640601,86.37661174,178.2676153,0.484533389,0.478586118,0.611075105,0.987725778,1.261162016,1.362380671
86.49365399,75.33378158,66.06917553,142.2943137,0.464313533,0.529422291,0.60785039,1.140225846,1.309137783,1.287565909
121.602013,119.9299936,118.2072823,174.9248564,0.675760351,0.685608644,0.695167145,1.014573648,1.028718457,1.213636829
193.0219347,110.3560065,100.7646558,147.9839955,0.680915902,0.745729334,1.304343311,1.095185664,1.915571816,0.819929921
78.11760057,78.92524804,77.88009812,137.9259346,0.564651589,0.572229206,0.566373545,1.013419987,1.003049591,1.374185674
119.0679068,85.41650036,106.4166196,145.1295022,0.733252839,0.588553665,0.820425241,0.802661283,1.118884506,1.230148182
129.8244425,134.6766538,116.1187218,148.5017742,0.781934912,0.906902658,0.874228225,1.159818604,1.118031964,1.000451415
174.0548135,114.8252442,171.329635,195.6331148,0.875770113,0.586941757,0.88970016,0.670200716,1.015906054,1.270294505
85.31123714,100.7948314,92.50773542,167.3185588,0.552883889,0.60241274,0.509873129,1.089582736,0.922206524,1.396119408
99.87835189,155.9237548,107.3217451,187.9247496,0.571088935,0.829713782,0.531480564,1.452862649,0.930644128,1.15419884
94.9801895,106.3764218,92.64952063,194.8245985,0.475553505,0.546011246,0.487516413,1.148159441,1.025155758,1.427686517
95.41080916,73.90897184,78.41592674,141.9846467,0.55228455,0.520541999,0.671979762,0.942525006,1.216727432,1.301682368
118.1728248,97.92704989,66.56456174,148.706181,0.447624714,0.658527098,0.794673254,1.471158937,1.775311392,0.9961632
86.42669724,65.71281014,77.87241777,143.0622425,0.544325438,0.459330212,0.604119548,0.843852188,1.109849928,1.45218467
113.8973376,139.5764427,107.989483,187.3433777,0.576425408,0.745030032,0.607960308,1.292500333,1.054707685,1.165141658
100.1519895,78.23939839,89.08371586,180.2870605,0.494121517,0.433971236,0.555514019,0.878268241,1.124245756,1.50999877
125.4823439,134.0531757,87.12482018,150.6061558,0.578494416,0.890090946,0.833182038,1.5386336,1.44025943,0.915986283
84.17527726,80.2205612,76.91697743,128.9031629,0.59670357,0.622331985,0.653011729,1.042949995,1.09436538,1.251979017
99.72254647,82.62929193,66.90582958,141.7002007,0.472164677,0.583127557,0.70375727,1.235008854,1.490491144,1.143975472
72.97000091,60.32766173,69.7095786,147.4430071,0.472789995,0.409159193,0.494903098,0.865414236,1.046771511,1.629080221
89.82758587,59.76900945,77.27178243,150.730098,0.512649985,0.396530025,0.595949894,0.773490756,1.162488855,1.524111427
98.78350885,92.26098825,103.2021554,167.7417245,0.615244392,0.550018122,0.588902428,0.893983153,0.957184552,1.418223943
