delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
58.11614662,77.35427669,54.98450602,145.6504988,0.377509905,0.531095172,0.399010969,1.406837713,1.056954965,0.675208314
67.07535208,68.67899975,83.05458991,141.6743966,0.586235706,0.484766488,0.47344724,0.826913959,0.807605602,0.604080292
77.20680516,89.05821548,80.52647419,158.4294976,0.508279553,0.562131528,0.487325948,1.10594952,0.958775433,0.695797721
57.92847947,73.2161226,69.96266761,147.913303,0.472997805,0.494993493,0.391638063,1.046502729,0.827991291,0.601923203
53.96968581,81.81953316,58.91595039,169.0050197,0.348604737,0.48412487,0.319337768,1.38875012,0.916045408,0.595773258
55.37412857,98.35808577,77.30743587,143.424094,0.539012893,0.685784954,0.386086654,1.272297867,0.716284636,0.696466945
86.97090246,123.7250047,115.7149049,242.2070639,0.477751982,0.510823271,0.359076656,1.069222714,0.75159637,0.588664361
92.85508573,88.35190889,106.9640866,218.1609054,0.490299059,0.404985067,0.425626606,0.825996012,0.868095907,0.557345634
135.2326983,127.6660768,111.0890453,178.452042,0.622514845,0.715408327,0.757809755,1.149222918,1.217336038,0.907984347
70.55451965,75.35732109,77.20187108,191.4494644,0.403249345,0.393614687,0.368528164,0.976107444,0.913896498,0.543127174
70.9109491,90.87469333,78.00406046,210.0295794,0.371395594,0.432675691,0.33762363,1.164999524,0.909067409,0.561690094
69.80649749,75.41154986,72.69386794,174.9235919,0.415574979,0.431111373,0.399068512,1.037385298,0.960280412,0.58646126
98.9906498,103.1137705,98.15899523,219.3845637,0.447428906,0.470013791,0.451219758,1.050477037,1.008472525,0.636462037
172.1043542,107.5542767,95.78676709,214.0437753,0.447510174,0.50248729,0.804061477,1.122851099,1.796744575,0.90261802
85.88617652,111.462326,89.81783064,192.0988508,0.467560479,0.580234216,0.447093651,1.240982166,0.956226352,0.700024211
99.80192176,101.116224,110.9037188,206.8196091,0.536234061,0.488910237,0.482555412,0.911747821,0.899896981,0.632368253
95.21181036,120.1350779,104.4809031,219.0330265,0.477009813,0.548479286,0.434691571,1.149828096,0.911284336,0.665649509
65.83698556,115.0603129,109.0556219,199.1363943,0.547642847,0.577796506,0.330612522,1.055060812,0.603700978,0.586962961
95.84545831,98.78910754,104.2424928,218.7356157,0.476568448,0.451637047,0.43817948,0.947685583,0.919447106,0.602624638
84.5881643,107.3893424,71.86170873,179.1538511,0.401117298,0.599425252,0.472153759,1.494388935,1.177096479,0.764803213
72.11614564,81.72384483,108.6487045,225.1226121,0.482620131,0.363019263,0.320341635,0.752184255,0.663755228,0.460914353
74.79633898,100.4002609,84.54148255,219.2071238,0.385669412,0.458015502,0.341213085,1.187585761,0.884729446,0.576781576
